"VAR_0001","VAR_0002","VAR_0003","VAR_0065","VAR_0070","VAR_0085","VAR_0136","VAR_0198","VAR_0211","VAR_0224","VAR_0238","VAR_0241","VAR_0268","VAR_0272","VAR_0273","VAR_0274","VAR_0281","VAR_0292","VAR_0294","VAR_0298","VAR_0302","VAR_0312","VAR_0314","VAR_0318","VAR_0323","VAR_0330","VAR_0337","VAR_0504","VAR_0513","VAR_0515","VAR_0539","VAR_0543","VAR_0549","VAR_0554","VAR_0560","VAR_0578","VAR_0582","VAR_0607","VAR_0608","VAR_0610","VAR_0612","VAR_0649","VAR_0654","VAR_0704","VAR_0707","VAR_0710","VAR_0711","VAR_0715","VAR_0719","VAR_0794","VAR_0805","VAR_0806","VAR_0809","VAR_0849","VAR_0852","VAR_0853","VAR_0854","VAR_0857","VAR_0870","VAR_0879","VAR_0880","VAR_0882","VAR_0884","VAR_0885","VAR_0887","VAR_0891","VAR_0895","VAR_0908","VAR_0916","VAR_0917","VAR_0918","VAR_0919","VAR_0920","VAR_0967","VAR_0969","VAR_1021","VAR_1087","VAR_1088","VAR_1119","VAR_1126","VAR_1127","VAR_1130","VAR_1135","VAR_1149","VAR_1150","VAR_1247","VAR_1257","VAR_1320","VAR_1328","VAR_1397","VAR_1494","VAR_1529","VAR_1530","VAR_1566","VAR_1746","VAR_1747","VAR_1749","VAR_1790","VAR_1934","VAR_0073"
"H",258,14,43,24,17,2,48,NA,1,89,18018,0,430,394,"PA",1,0,2012,0,178,0,-1,0,1,0,0,0,1,0,0,539,400,5,19,98,1,0,999999996,0,996,999999996,999999997,376,105,-99999,-99999,-99999,0,16,2,1,-99999,2,-99999,1,1,1,14,13,87,100,87,0,376,-99999,430,-99999,12,406,406,406,4102,998,2,1,539,75116,32,50,0,1984,0,141,82,0,400,300,994,997,999999997,53,98,3,0,999999997,400,2,"IAPS",8.9026e+017
"R",43,126,1,0,1,0,59,NA,1,1,98335,0,535,523,"CA",2,1,2009,373503,15,1,2009,373503,16,0,1.88,0,1,26,0,47562,30,54,28,40,2,80,0,116,3,14359,999999994,5648,82,-99999,-99999,-99999,0,6,2,1,-99999,14,-99999,5,5,-99999,42,40,36,-99999,95,67,5648,-99999,1750,44062,1,0,36,0,36,998,3,1,47562,251,80,10,60,864,3,102,19,0,30,1750,994,998,44062,9996,87,0,98,999999998,998,2,"BRANCH",NA
"Q",36,99,1,0,1,0,29,NA,1,1,93308,0,296,284,"CA",1,0,2012,283000,94,0,-1,0,1,141950,0.83,0,0,37,1,218067,998,3,11,12,7,50,16,302,5,9006,999999994,10308,53,-99999,0,0,1,3,10,6,-99999,2,24,14,14,14,2,36,82,71,74,86,9223,145391,582,53020,3,2104,2104,2104,2104,998,20,3,216307,8400,77,8,95,1968,17,44,67,0,400,657,76,3,53915,9996,79,3,0,254,30,11,"IAPS",NA
"R",6,24,1,0,1,0,20,NA,1,1,20171,0,256,231,"VA",2,0,-1,0,1,0,-1,0,1,-1,0,0,1,20,0,12119,998,9996,96,7,0,0,999999996,0,996,10040,999999994,3775,11,-99999,-99999,-99999,0,0,1,1,-99999,3,-99999,-99999,-99999,-99999,3,67,87,-99999,57,100,3775,-99999,500,16263,0,0,0,0,0,998,2,96,12119,0,100,0,100,47,9996,9,9994,0,1,500,0,0,11119,9996,20,4,98,999999998,998,0,"IAPS",NA
"H",252,2,1,0,1,0,58,NA,1,1,41563,1,519,495,"KY",1,1,2010,0,8,1,-1,0,1,35000,0,0,0,0,1,9607,400,19,9,9998,1,0,999999996,0,996,4880,999999994,2962,139,-99999,-99999,-99999,0,6,1,2,-99999,2,-99999,22,22,-99999,4,17,92,-99999,91,50,2962,-99999,600,-99999,3,0,0,0,1813,1,2,1,9607,1273,43,43,60,743,22,63,134,0,1,600,91,998,9007,9996,157,1,0,8620,60,1,"BRANCH",NA
"R",13,69,1,0,1,0,35,NA,1,1,91761,0,77,62,"AL",2,0,-1,0,12,0,-1,0,8,-1,0,0,0,0,0,35590,998,7,1,17,2,455,610,764,18,6691,999999994,3698,35,0,-99999,-99999,0,1,2,2,-99999,2,-99999,0,0,30,8,67,72,99,61,86,3698,-99999,1935,25740,1,0,0,0,0,997,5,96,35590,0,89,0,100,273,28,31,37,0,1,1125,994,998,28040,9996,57,3,0,2144,1,1,"IAPS",NA
"H",28,52,4,0,2,1,34,NA,2,4,38134,0,388,363,"TN",2,1,2011,0,28,1,2011,0,3,39000,0.81,1,0,0,0,139605,30,12,6,4,3,50,24,370,6,27457,999999994,14200,27,0,2,3,8,3,2,5,-99999,1,1,0,0,-99999,1,50,94,-99999,22,67,12909,104442,970,27888,1,0,0,0,464,1,3,3,139605,464,82,5,90,647,2,31,47,0,30,300,86,998,31680,9996,50,6,0,3632,1,3,"IAPS",8.70541e+017
"R",4,124,1,0,1,0,51,NA,1,1,93304,0,446,434,"CA",2,0,2012,201000,4,0,2012,201000,3,-1,0,0,1,48,0,25566,1,9996,96,20,2,200,198,415,9,13898,999999994,2030,37,-99999,-99999,-99999,0,2,6,6,-99999,1,-99999,34,-99999,-99999,1,67,76,81,88,100,2030,-99999,852,18866,2,0,0,0,0,998,8,96,25566,0,88,13,100,550,9996,37,35,0,1,2000,994,0,18866,9996,100,0,98,999999998,998,7,"BRANCH",NA
"R",17,24,1,0,1,0,29,NA,1,1,32714,0,309,285,"NC",2,0,2011,0,14,0,2011,0,6,176000,0.23,0,0,-1,0,10033,30,7,22,19,2,100,75,100,36,3524,999999994,1910,60,-99999,-99999,-99999,0,1,1,1,-99999,16,-99999,11,11,-99999,12,22,57,-99999,76,75,1432,-99999,967,7233,1,0,0,0,0,998,3,2,10033,0,58,8,100,671,9,56,40,0,1,1150,994,0,7233,9996,133,0,98,999999998,998,2,"IAPS",NA
"H",137,228,2,0,2,0,41,47,1,2,18214,0,325,300,"PA",2,1,2011,194084,184,1,2011,194084,136,-1,0,0,1,0,0,204072,998,34,96,5,2,170,16,390,3,129873,999999994,22555,58,-99999,1,1,3,1,1,2,0,2,2,91,-99999,-99999,3,67,87,44,55,100,20049,128071,3072,42442,0,0,0,0,0,1,7,96,204072,0,89,0,100,1275,26,73,9994,0,1,4365,994,998,185442,9996,223,3,0,129873,1,2,"BRANCH",NA
"H",120,157,1,0,1,0,59,NA,1,1,77015,0,544,520,"TX",2,0,2012,77716,70,0,2012,77716,1,0,0,0,1,-1,0,11400,998,9996,96,128,3,75,145,275,14,999999996,999999997,927,53,-99999,-99999,-99999,0,0,4,3,-99999,3,-99999,-99999,-99999,-99999,2,67,31,-99999,31,100,695,-99999,2210,-99999,0,0,0,0,0,997,7,96,11400,0,100,0,100,603,9996,72,9994,0,1,1417,994,998,999999997,9996,128,0,0,999999997,1,5,"IAPS",NA
"R",24,24,1,0,1,0,39,NA,1,1,46970,0,439,415,"IN",-1,0,2011,0,4,0,2012,0,1,0,0,0,0,41,99,999999999,999,9999,99,9999,99,999999999,999999999,999999999,999,999999999,999999999,-99999,161,-99999,-99999,-99999,0,15,-99999,-99999,-99999,7,-99999,2,-99999,-99999,161,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,13,17009,17841,999999998,27131,999,99,0,999999999,26831,0,100,999,999999,9999,9999,17,999999999,999,999999999,999,999,999999999,9999,9999,1,99,999999999,999,99,"BRANCH",NA
"R",2,48,1,0,1,0,21,NA,1,1,98444,0,271,247,"GA",-1,0,-1,0,1,0,-1,0,1,0,0,1,0,21,1,4955,400,2,2,9998,98,0,999999996,0,996,204,127,2794,19,-99999,0,0,1,2,0,1,-99999,0,18,4,4,-99999,1,100,92,-99999,70,50,2794,-99999,1350,8186,4,4095,4095,3850,4095,998,3,2,4955,5321,50,40,38,158,4,15,16,999999998,998,999999998,998,998,3605,7,40,2,2,1474,400,1,"IAPS",NA
"R",3,5,1,0,1,0,19,NA,1,1,65721,0,251,221,"MO",-1,0,-1,0,1,0,-1,0,1,-1,0,0,1,-1,0,2458,1,9996,96,9998,98,999999998,999999998,999999998,998,2015,999999994,2015,10,-99999,-99999,-99999,0,1,-99999,0,-99999,-99999,-99999,5,-99999,-99999,10,-99999,82,-99999,-99999,100,2015,-99999,-99999,-99999,1,212,212,0,212,1,98,0,2458,212,50,50,50,9,9996,9,4,999999998,998,999999998,998,998,2458,9996,9,1,0,2015,1,98,"IAPS",NA
"R",128,128,1,0,1,0,60,NA,1,1,92509,0,11,6,"CA",2,0,2010,385000,17,0,2010,385000,-1,-1,-1,0,0,-1,0,6800,998,9996,96,9998,98,300,275,300,73,999999998,999999998,272,1,1,1,1,1,0,0,0,-99999,0,1,-99999,-99999,-99999,0,100,54,54,54,-99999,272,-99999,500,-99999,0,0,0,0,0,998,98,96,6800,0,100,0,100,326,9996,326,9994,999999998,998,999999998,998,998,999999998,9998,9998,2,98,999999998,998,0,"BRANCH",NA
"R",24,151,8,21,22,2,31,NA,1,26,30909,1,388,363,"GA",2,0,-1,0,17,0,-1,0,1,0,1.51,1,0,11,1,14701,998,3,1,6,97,999999997,999999997,999999997,997,14615,999999994,7974,47,-99999,5,5,9,6,-99999,1,-99999,0,0,0,0,-99999,6,0,94,-99999,-99999,100,7974,-99999,-99999,14701,8,519,555,483,1082,997,96,0,14701,1082,38,62,40,409,9996,68,33,999999997,0,999999997,997,998,14701,9996,45,2,0,999999997,1,97,"IAPS",8.73736e+017
"R",49,30,10,5,2,0,28,NA,1,15,60610,0,358,334,"MN",2,0,-1,0,1,0,-1,0,1,-1,0,0,0,-1,3,9302,998,2,5,83,2,135,125,203,6,1106,999999994,1297,61,-99999,-99999,-99999,0,15,2,2,-99999,10,-99999,4,35,35,4,57,83,33,82,100,1297,-99999,1206,-99999,18,2073,2073,706,5099,1,3,0,9302,44713,31,65,60,752,34,32,45,0,1,1750,94,998,4502,9996,113,1,98,999999998,998,1,"IAPS",8.80373e+017
"R",2,0,1,0,1,0,74,NA,1,1,37876,0,698,662,"MI",2,0,-1,0,1,0,-1,0,1,-1,0,0,0,-1,0,3359,998,51,20,24,1,300,244,300,15,999999996,999999996,2000,105,-99999,0,0,1,3,1,0,-99999,19,19,17,17,-99999,10,13,67,-99999,67,60,1000,-99999,1500,-99999,1,0,0,0,294,998,4,1,2500,294,75,8,100,1544,16,150,51,0,30,2500,994,0,999999996,9996,167,0,0,999999997,1,1,"BRANCH",NA
"H",146,192,1,0,1,0,36,NA,1,1,22191,0,411,374,"NY",1,1,-1,0,174,0,-1,0,1,106615,0,0,1,-1,0,257732,998,6,1,135,8,170,262,790,6,7088,999999994,13662,66,-99999,-99999,-99999,0,9,12,9,-99999,4,-99999,0,0,-99999,1,75,89,91,81,100,12903,207472,1369,-99999,8,0,0,0,0,998,13,96,257732,129520,78,22,100,2827,9996,78,79,0,400,1431,70,997,5882,51,145,1,98,999999998,998,8,"IAPS",NA
"R",264,144,1,0,1,0,42,NA,1,2,36850,0,464,439,"AL",1,0,-1,0,149,0,-1,0,1,-1,0,0,1,-1,0,11014,998,9996,96,9998,98,0,999999996,0,996,10180,999999994,10058,52,-99999,0,2,6,1,0,1,-99999,0,10,1,1,-99999,10,0,91,0,0,100,5029,-99999,100,-99999,0,0,0,0,0,998,2,96,11014,0,100,0,100,322,9996,74,9994,999999998,998,999999998,998,998,10914,9996,131,0,0,10180,1,0,"BRANCH",NA
"R",91,8,1,0,1,0,40,NA,1,1,22664,0,463,438,"VA",2,0,2006,163412,79,0,2006,163412,50,-1,0,0,0,-1,0,13770,998,24,1,13,97,999999997,999999997,999999997,997,12008,999999994,11848,94,-99999,-99999,-99999,0,8,-99999,0,-99999,1,-99999,0,0,-99999,16,0,86,-99999,-99999,100,11848,-99999,-99999,13770,6,0,0,0,0,998,96,96,13770,41817,63,38,100,1638,9996,128,60,999999997,400,999999997,996,998,13770,12,161,0,0,999999997,1,97,"BRANCH",NA
"H",173,46,1,0,1,0,74,NA,1,1,35640,0,700,676,"AL",1,0,2012,0,146,0,-1,0,13,-1,0,0,1,18,0,7780,998,9996,96,10,3,100,135,250,8,815,999999994,1713,71,-99999,0,0,1,2,2,2,-99999,3,13,16,16,16,3,27,91,-99999,86,100,1713,-99999,1358,-99999,1,0,0,0,0,998,4,96,7780,0,93,7,100,1226,9996,88,15,0,1,1867,994,998,1605,9996,56,0,98,999999998,998,2,"BRANCH",NA
"R",12,999,6,5,1,0,49,NA,1,6,78222,0,440,428,"TX",-1,0,-1,0,10,0,-1,0,10,0,1.54,0,1,72,1,53548,998,3,14,30,97,999999997,999999997,999999997,997,9711,999999994,10170,88,-99999,1,1,1,10,-99999,0,-99999,1,3,1,1,1,56,0,44,-99999,-99999,0,10170,-99999,-99999,-99999,10,11977,11977,11733,15239,997,96,1,53548,208064,50,41,30,1026,1,77,37,999999997,0,999999997,997,0,53548,9996,139,2,0,999999996,1,97,"IAPS",8.80373e+017
"H",89,77,1,0,1,0,52,NA,1,1,33544,0,456,431,"NY",2,0,2012,0,68,0,2012,0,69,0,1.12,0,0,0,0,948110,998,1,13,9998,3,248,384,474,10,18556,999999994,138740,137,-99999,0,0,1,3,0,1,0,16,20,8,8,8,55,17,74,-99999,30,67,115617,675942,8748,-99999,2,676557,676557,676557,684727,998,6,3,940610,0,86,0,100,4706,7,135,143,0,30,6625,994,2,23310,9996,152,0,0,18556,60,3,"BRANCH",NA
"H",154,25,1,0,1,0,45,NA,1,1,92562,0,374,362,"CA",2,0,2010,420000,155,0,2010,420000,155,0,0.81,0,1,0,0,379754,60,30,48,29,4,270,260,310,35,4894,999999994,39030,112,-99999,1,1,1,2,0,0,-99999,0,0,3,3,-99999,1,25,80,-99999,20,63,34694,141440,5834,43450,2,0,61,0,161,998,5,4,379754,160,78,6,77,4068,2,117,27,0,30,3875,994,0,43450,9996,132,3,98,999999998,998,1,"BRANCH",NA
"R",24,0,2,0,2,0,29,33,1,2,77084,0,364,340,"LA",1,0,-1,0,1,0,2010,0,1,-1,0,0,1,15,1,4270,998,37,1,9998,98,999999998,999999998,999999998,998,2944,999999994,1044,13,-99999,5,8,8,7,-99999,1,-99999,0,1,0,0,0,3,-99999,85,-99999,-99999,0,1044,-99999,-99999,-99999,7,7416,7876,6994,11746,1,1,0,4270,5568,42,50,63,108,0,3,24,999999998,998,999999998,998,998,4270,38,57,2,1,3902,400,98,"IAPS",NA
"R",16,26,21,18,8,3,25,NA,10,37,44870,0,266,242,"OH",1,0,2011,63500,53,0,2011,41327,1,0,0.59,0,1,13,0,300,998,13,96,32,1,30,5,30,12,999999996,999999996,292,37,0,1,3,5,14,1,1,-99999,0,4,37,38,45,6,50,93,-99999,93,100,292,-99999,315,-99999,6,0,0,0,0,998,1,96,300,1204,54,46,100,374,9996,41,66,0,1,300,82,998,999999996,9996,86,1,98,999999998,998,1,"IAPS",8.7465e+017
"H",9,56,7,7,1,0,30,NA,1,9,32068,0,285,261,"OH",2,0,2012,251519,10,0,2012,251519,1,10000,0,0,0,-1,0,159320,90,8,2,12,5,115,92,291,6,4038,999999994,17402,43,-99999,1,1,3,2,6,5,-99999,0,5,55,75,75,1,54,98,-99999,74,100,13051,146950,755,4634,2,0,0,0,703,998,8,0,159320,703,88,6,92,682,73,42,71,0,1,360,108,998,4634,9996,135,5,98,999999998,998,6,"IAPS",8.83701e+017
"H",704,0,1,0,1,0,59,NA,1,1,29927,0,539,527,"GA",1,0,2011,0,356,0,-1,0,7,-1,0,0,1,-1,1,180569,998,3,3,28,1,0,999999996,0,996,16258,999999994,35320,36,-99999,1,4,7,19,-99999,2,-99999,6,6,1,1,1,2,0,99,-99999,-99999,33,35320,155560,-99999,-99999,13,157924,159068,157489,160021,1,96,2,180569,3996,50,40,36,1030,12,56,24,0,1,4000,994,998,20726,9996,89,0,0,20335,30,0,"BRANCH",NA
"R",6,19,4,7,8,4,20,NA,11,8,92562,0,229,212,"MI",1,0,-1,0,3,0,-1,0,1,-1,0,0,1,-1,99,999999999,999,9999,99,9999,99,999999999,999999999,999999999,999,999999999,999999999,58,7,-99999,-99999,-99999,0,1,0,0,-99999,0,-99999,35,-99999,-99999,7,100,19,-99999,19,100,58,-99999,300,-99999,1,0,0,999999998,33,999,99,97,999999999,26,0,100,999,999999,9999,9999,35,999999999,999,999999999,999,999,999999999,9999,9999,0,99,999999999,999,99,"IAPS",8.71111e+017
"R",3,3,1,0,1,0,23,NA,1,1,60647,0,259,222,"OH",-1,0,2011,0,66,0,2012,43283,26,-1,0,0,1,-1,0,17751,998,38,96,9998,2,25,0,25,6,6075,999999994,2526,43,-99999,-99999,-99999,0,1,1,1,-99999,2,-99999,0,0,0,17,50,76,-99999,83,100,2526,-99999,500,-99999,0,0,0,0,0,998,2,0,17751,0,80,0,80,188,0,40,9994,0,60,2500,994,998,12751,9996,52,0,98,999999998,998,2,"IAPS",NA
"H",27,50,2,0,1,0,22,78,1,2,33880,0,274,262,"FL",2,0,2012,0,26,0,2012,0,13,12000,0,0,0,9,0,4407,1,9996,96,9998,2,279,389,429,92,3490,999999994,44849,23,-99999,1,1,1,2,2,2,-99999,3,3,2,2,2,8,67,99,-99999,92,75,44849,175411,328,-99999,1,0,0,0,681,998,2,0,4407,681,80,20,75,75,9996,19,25,0,1,300,78,998,3807,9996,5,4,0,3490,1,1,"MOBILE",NA
"R",55,60,3,0,1,0,38,NA,1,6,71328,0,290,278,"LA",1,0,-1,0,85,0,-1,0,1,-1,0,0,0,0,2,500,400,6,5,9998,1,200,163,200,34,999999996,999999996,638,42,1,0,0,2,12,1,1,-99999,1,13,0,0,0,8,50,100,-99999,100,0,638,-99999,638,-99999,11,145,145,0,680,998,1,1,500,930,8,85,0,208,0,22,39,0,60,500,116,998,999999996,30,38,4,1,999999996,400,1,"IAPS",7.29999e+017
"R",24,12,3,0,1,0,37,NA,1,4,89148,0,337,325,"NV",2,0,-1,0,7,0,-1,0,7,187400,1.04,0,1,48,0,8250,400,4,34,91,1,250,225,250,73,6859,999999994,2508,112,-99999,-99999,-99999,0,9,2,1,-99999,0,-99999,22,37,-99999,2,8,91,-99999,76,100,2508,-99999,625,-99999,9,0,0,0,0,998,3,96,8250,178440,65,24,100,3502,74,116,77,0,1,750,45,997,7000,35,171,3,1,6859,400,0,"IAPS",8.88647e+017
"R",27,27,11,8,1,0,53,194,1,11,29461,0,482,470,"FL",2,0,2012,0,79,0,2012,0,21,0,1.34,0,1,75,2,17820,400,2,1,14,1,50,25,50,17,9853,999999994,3273,89,-99999,1,5,7,12,1,2,-99999,0,1,1,1,44,1,7,82,-99999,99,83,3273,-99999,300,11848,8,0,0,0,24024,1,2,0,16020,66852,76,21,40,3036,41,97,64,0,1,300,994,0,15720,25,162,2,0,2671,1,1,"IAPS",8.90491e+017
"H",0,48,1,0,1,0,42,NA,1,1,27545,0,334,322,"NC",-1,0,2012,159868,-1,-1,-1,-1,-1,-1,-1,0,1,45,0,25174,998,15,6,17,1,157,142,157,51,4262,999999994,3926,57,-99999,0,0,2,6,0,2,-99999,3,19,6,43,-99999,14,50,86,-99999,38,100,3365,-99999,667,16356,3,0,0,0,1328,998,1,0,25174,2030,56,33,71,335,50,29,55,0,1,750,41,998,23674,9996,126,3,98,999999998,998,0,"BRANCH",NA
"Q",549,144,1,0,1,0,82,NA,1,1,44028,0,925,731,"OH",2,1,2012,151246,575,1,2012,151246,91,-1,0,0,1,10,0,83987,998,9996,96,27,1,151,108,221,7,4892,999999994,6452,56,-99999,-99999,-99999,0,0,2,2,0,1,-99999,3,3,-99999,6,44,54,0,41,90,4516,-99999,4340,28637,0,0,0,0,0,998,7,96,83987,0,100,0,100,838,9996,60,9994,0,1,8400,98,998,28637,9996,150,0,98,999999998,998,2,"BRANCH",NA
"R",64,96,14,5,1,0,49,NA,1,33,32352,0,452,428,"FL",1,1,2012,82170,10,0,-1,0,1,13000,1.22,0,1,1,0,2600,998,3,26,89,3,66,70,150,41,999999996,999999996,9398,78,-99999,-99999,-99999,0,10,0,1,-99999,3,-99999,1,1,10,8,25,140,-99999,24,71,7519,-99999,650,-99999,12,0,0,999999998,0,998,4,0,2600,24318,37,58,100,1558,8,66,99,0,1,533,24,997,999999996,25,242,3,1,999999997,400,0,"IAPS",8.5093e+017
"H",473,269,1,0,1,0,42,NA,1,1,60620,0,346,309,"IL",2,1,2011,135000,276,1,2011,135000,94,-1,0,0,1,-1,0,20873,998,9996,96,91,97,75,68,125,12,10167,999999994,20345,57,-99999,0,0,1,1,1,1,0,3,13,116,-99999,-99999,3,38,82,47,27,100,16954,89676,1873,13383,0,0,0,0,0,997,4,96,20873,0,100,0,100,2390,9996,106,9994,999999997,997,999999997,997,998,13383,9996,125,2,0,999999997,1,1,"BRANCH",NA
